,0,1,2,3,4,5
26877,1087423,RED HAT INC,10-Q,2018-01-08,edgar/data/1087423/0001087423-18-000003.txt,edgar/data/1087423/0001087423-18-000003-index.html
27074,1088413,"GREYSTONE LOGISTICS, INC.",10-Q,2018-01-16,edgar/data/1088413/0001493152-18-000591.txt,edgar/data/1088413/0001493152-18-000591-index.html
27084,1088638,"COCONNECT, INC.",10-Q,2018-01-04,edgar/data/1088638/0001556244-18-000002.txt,edgar/data/1088638/0001556244-18-000002-index.html
27085,1088638,"COCONNECT, INC.",10-Q,2018-01-04,edgar/data/1088638/0001556244-18-000004.txt,edgar/data/1088638/0001556244-18-000004-index.html
27086,1088638,"COCONNECT, INC.",10-Q,2018-01-04,edgar/data/1088638/0001556244-18-000006.txt,edgar/data/1088638/0001556244-18-000006-index.html
27087,1088638,"COCONNECT, INC.",10-Q,2018-01-12,edgar/data/1088638/0001556244-18-000013.txt,edgar/data/1088638/0001556244-18-000013-index.html
27088,1088638,"COCONNECT, INC.",10-Q,2018-01-12,edgar/data/1088638/0001556244-18-000014.txt,edgar/data/1088638/0001556244-18-000014-index.html
27089,1088638,"COCONNECT, INC.",10-Q,2018-01-12,edgar/data/1088638/0001556244-18-000015.txt,edgar/data/1088638/0001556244-18-000015-index.html
27090,1088638,"COCONNECT, INC.",10-Q,2018-01-29,edgar/data/1088638/0001556244-18-000025.txt,edgar/data/1088638/0001556244-18-000025-index.html
27091,1088638,"COCONNECT, INC.",10-Q,2018-01-29,edgar/data/1088638/0001556244-18-000026.txt,edgar/data/1088638/0001556244-18-000026-index.html
27092,1088638,"COCONNECT, INC.",10-Q,2018-01-29,edgar/data/1088638/0001556244-18-000027.txt,edgar/data/1088638/0001556244-18-000027-index.html
27245,1089143,COLLECTORS UNIVERSE INC,10-Q,2018-02-07,edgar/data/1089143/0001437749-18-001920.txt,edgar/data/1089143/0001437749-18-001920-index.html
27258,1089319,"FREESTONE RESOURCES, INC.",10-Q,2018-02-09,edgar/data/1089319/0001121781-18-000004.txt,edgar/data/1089319/0001121781-18-000004-index.html
27491,1090061,OMNOVA SOLUTIONS INC,10-Q,2018-03-28,edgar/data/1090061/0001090061-18-000027.txt,edgar/data/1090061/0001090061-18-000027-index.html
