"X","X0","X1","X2","X3","X4","X5"
155099,1579010,"HISPANICA INTERNATIONAL DELIGHTS OF AMERICA, INC.","10-Q","2018-01-16","edgar/data/1579010/0001017386-18-000004.txt","edgar/data/1579010/0001017386-18-000004-index.html"
155579,1580095,"Black Rock Petroleum Co","10-Q","2018-03-19","edgar/data/1580095/0001511164-18-000150.txt","edgar/data/1580095/0001511164-18-000150-index.html"
155584,1580149,"BIOVIE INC.","10-Q","2018-02-14","edgar/data/1580149/0001520138-18-000019.txt","edgar/data/1580149/0001520138-18-000019-index.html"
155655,1580262,"Right On Brands, Inc.","10-Q","2018-02-20","edgar/data/1580262/0001477932-18-000936.txt","edgar/data/1580262/0001477932-18-000936-index.html"
155657,1580264,"Mobile Lads Corp","10-Q","2018-01-19","edgar/data/1580264/0001213900-18-000682.txt","edgar/data/1580264/0001213900-18-000682-index.html"
155937,1580836,"Lvyuan Green Building Material Technology Corp.","10-Q","2018-03-15","edgar/data/1580836/0001659173-18-000114.txt","edgar/data/1580836/0001659173-18-000114-index.html"
155950,1580883,"SweeGen, Inc.","10-Q","2018-02-14","edgar/data/1580883/0001078782-18-000162.txt","edgar/data/1580883/0001078782-18-000162-index.html"
156063,1581091,"RE/MAX Holdings, Inc.","10-Q","2018-03-15","edgar/data/1581091/0001558370-18-002145.txt","edgar/data/1581091/0001558370-18-002145-index.html"
156174,1581545,"Freedom Leaf Inc.","10-Q","2018-02-21","edgar/data/1581545/0001683168-18-000482.txt","edgar/data/1581545/0001683168-18-000482-index.html"
156418,1582244,"Corning Natural Gas Holding Corp","10-Q","2018-02-14","edgar/data/1582244/0001582244-18-000010.txt","edgar/data/1582244/0001582244-18-000010-index.html"
156438,1582249,"Rasna Therapeutics Inc.","10-Q","2018-02-08","edgar/data/1582249/0001628280-18-001223.txt","edgar/data/1582249/0001628280-18-001223-index.html"
156541,1582586,"China Soar Information Technology, Inc.","10-Q","2018-03-26","edgar/data/1582586/0001582586-18-000010.txt","edgar/data/1582586/0001582586-18-000010-index.html"
157204,1584480,"UpperSolution.com","10-Q","2018-03-12","edgar/data/1584480/0001640334-18-000449.txt","edgar/data/1584480/0001640334-18-000449-index.html"
157214,1584509,"Aramark","10-Q","2018-02-06","edgar/data/1584509/0001584509-18-000044.txt","edgar/data/1584509/0001584509-18-000044-index.html"
157291,1584693,"GRASSHOPPER STAFFING, INC.","10-Q","2018-03-19","edgar/data/1584693/0001393905-18-000105.txt","edgar/data/1584693/0001393905-18-000105-index.html"
157319,1584754,"Akoustis Technologies, Inc.","10-Q","2018-02-14","edgar/data/1584754/0001615774-18-001205.txt","edgar/data/1584754/0001615774-18-001205-index.html"
157341,15847,"BUTLER NATIONAL CORP","10-Q","2018-03-16","edgar/data/15847/0001437749-18-004834.txt","edgar/data/15847/0001437749-18-004834-index.html"
157697,1585738,"Ethos Media Network, Inc.","10-Q","2018-01-16","edgar/data/1585738/0001477932-18-000244.txt","edgar/data/1585738/0001477932-18-000244-index.html"
157700,1585755,"Arias Intel Corp.","10-Q","2018-02-14","edgar/data/1585755/0001493152-18-002125.txt","edgar/data/1585755/0001493152-18-002125-index.html"
157878,1586452,"LUBOA GROUP, INC.","10-Q","2018-01-12","edgar/data/1586452/0001213900-18-000440.txt","edgar/data/1586452/0001213900-18-000440-index.html"
157905,1586495,"Blow & Drive Interlock Corp","10-Q","2018-02-09","edgar/data/1586495/0001493152-18-001718.txt","edgar/data/1586495/0001493152-18-001718-index.html"
158929,1589150,"Regen BioPharma Inc","10-Q","2018-02-06","edgar/data/1589150/0001607062-18-000047.txt","edgar/data/1589150/0001607062-18-000047-index.html"
159027,1589526,"Blue Bird Corp","10-Q","2018-02-07","edgar/data/1589526/0001589526-18-000029.txt","edgar/data/1589526/0001589526-18-000029-index.html"
159400,1590715,"American Resources Corp","10-Q","2018-02-20","edgar/data/1590715/0001477932-18-000940.txt","edgar/data/1590715/0001477932-18-000940-index.html"
159401,1590715,"American Resources Corp","10-Q","2018-03-01","edgar/data/1590715/0001477932-18-001069.txt","edgar/data/1590715/0001477932-18-001069-index.html"
159402,1590715,"American Resources Corp","10-Q","2018-03-09","edgar/data/1590715/0001477932-18-001201.txt","edgar/data/1590715/0001477932-18-001201-index.html"
159581,1590976,"Malibu Boats, Inc.","10-Q","2018-02-09","edgar/data/1590976/0001590976-18-000016.txt","edgar/data/1590976/0001590976-18-000016-index.html"
159824,1591565,"BALLY, CORP.","10-Q","2018-02-20","edgar/data/1591565/0001640334-18-000367.txt","edgar/data/1591565/0001640334-18-000367-index.html"
159828,1591588,"A-Mark Precious Metals, Inc.","10-Q","2018-02-09","edgar/data/1591588/0001591588-18-000006.txt","edgar/data/1591588/0001591588-18-000006-index.html"
159846,1591615,"Poverty Dignified, Inc.","10-Q","2018-01-19","edgar/data/1591615/0001477932-18-000333.txt","edgar/data/1591615/0001477932-18-000333-index.html"
159880,1591698,"Paylocity Holding Corp","10-Q","2018-02-09","edgar/data/1591698/0001558370-18-000554.txt","edgar/data/1591698/0001558370-18-000554-index.html"
160239,1592329,"Clifton Bancorp Inc.","10-Q","2018-02-07","edgar/data/1592329/0001564590-18-001473.txt","edgar/data/1592329/0001564590-18-001473-index.html"
160380,1592603,"NuLife Sciences, Inc.","10-Q","2018-02-23","edgar/data/1592603/0001391609-18-000038.txt","edgar/data/1592603/0001391609-18-000038-index.html"
160410,1592706,"SB/RH Holdings, LLC","10-Q","2018-02-08","edgar/data/1592706/0001487730-18-000030.txt","edgar/data/1592706/0001487730-18-000030-index.html"
160435,1592782,"Nukkleus Inc.","10-Q","2018-02-13","edgar/data/1592782/0001615774-18-001118.txt","edgar/data/1592782/0001615774-18-001118-index.html"
160474,1593001,"NightFood Holdings, Inc.","10-Q","2018-02-16","edgar/data/1593001/0001213900-18-002025.txt","edgar/data/1593001/0001213900-18-002025-index.html"
160568,1593204,"Adaiah Distribution Inc","10-Q","2018-03-08","edgar/data/1593204/0001477932-18-001154.txt","edgar/data/1593204/0001477932-18-001154-index.html"
160815,1593812,"Vaulted Gold Bullion Trust","10-Q","2018-03-19","edgar/data/1593812/0001214659-18-002237.txt","edgar/data/1593812/0001214659-18-002237-index.html"
161038,1594337,"Corium International, Inc.","10-Q","2018-02-12","edgar/data/1594337/0001558370-18-000592.txt","edgar/data/1594337/0001558370-18-000592-index.html"
